Layer	pH	TOC	TIC	TN	Po	Pi	TOC_TN	COT_Po	TN_Po	SM1-50	Heliorestis	PWUC01	Halohasta	Sulfurimonas	DTU012	Saliphagus	Dethiobacter	Halorussus	Natranaerovirga	Salinarimonas	Sporosalibacterium	SKLG01	Rubribacterium
L1	9.54	45.546	14.214	10.11	161.53	313.56	4.51	0.282	0.063	19.77604106	23.2310743	0.324273883	6.410824682	0.086317508	1.094132742	2.302577861	2.582526537	0.727866558	0.11197947	0.466581127	0.396593958	0.839846028	0.342937128
L2	9.33	25.267	20.96	6.9	30.59	319.12	3.66	0.826	0.226	9.245601186	4.995826875	1.13611201	5.22236795	1.202541348	0.957263793	4.609174062	0.255497454	1.897494422	0.172034952	0.749459197	0.587644143	1.965627076	0.224837759
L3	9.23	22.504	18.314	3.73	123.74	101.38	6.03	0.182	0.030	9.188021646	3.890264947	1.908741944	11.49705941	11.44188667	0.804113304	2.859591252	0.039912193	1.805439797	0.046955521	4.263561342	0.388556939	0.426121357	0.446077453
L4	9.36	39.842	17.42	12.7	19.65	422.29	3.14	2.028	0.646	18.03301206	0.564318582	4.444724251	3.541585586	17.04173439	0.146516792	0.296467572	0.035484536	0.2438131	0.207183901	1.021038896	0.218630526	0.552871958	4.305075433
L5	9.37	28.079	18.785	7.24	43.16	369.71	3.88	0.651	0.168	5.162980448	37.55849968	2.334529478	0.279706922	0.428429139	5.233930496	0.171917425	0.04093272	0.158273185	0.081865441	0.04775484	0.073678896	0.805010165	0.180103969
L6	9.41	26.832	20.025	7.65	103.66	284.24	3.51	0.259	0.074	13.57835869	38.45839512	2.200791584	1.441897935	0	1.893731538	0.253353726	0.238175853	0.649145953	0.325740505	0.430818087	0.116752869	0.193809763	0.117920398
L7	9.73	31.356	17.609	13.81	96.32	308.28	2.27	0.326	0.143	25.10209199	9.482017481	4.862802694	0.660911305	0	1.776758848	3.109327984	6.401346898	2.453789941	0.456727325	0.431652099	0.08776329	0.098509815	0.245378994
L8	9.32	41.122	11.175	14.24	65.31	228.71	2.89	0.630	0.218	27.49137354	4.579749704	7.632486996	0.145491065	0.003862595	0.804707215	0.036050883	0.682391719	0.256218777	0.284544471	0.090127208	0.753205954	0.131328218	0.574239069
L9	9.09	25.538	17.164	6.8	45.87	160.57	3.76	0.557	0.148	29.35948605	4.299767059	15.80290509	0.335316548	0	1.161738305	0.062315465	0.03857624	0.207718215	0.682502708	0	1.040074779	1.11871096	0.005934806
L10	9.13	37.975	14.257	9.95	27.55	206.58	3.82	1.378	0.361	19.12975375	9.243406673	9.303511584	0.542765554	1.100101996	0.400699403	0.081961241	0.559157803	0.125673904	4.994171645	0.076497159	2.406017776	0.426198455	0.233134198
L11	9.25	36.435	19.29	9.27	118.35	114.09	3.93	0.308	0.078	16.29689652	14.3554007	5.900656349	4.879669395	0.48456365	1.136050563	0.956162386	0.938335629	0.508872863	1.046916781	0.513734705	1.61575237	0.589903573	0.363017584